Repository,Commit Hash,Severity_High,Severity_Medium,Severity_Low,Confidence_High,Confidence_Medium,Confidence_Low,CWE_Counts
scrapy,76a8badd24cea6509df24e070f7fc06f47ee9ac3,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,783b98dedaea65e0c6658d9d588328dd887c2c8a,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,7d5b189c1147e8aad632d4ef6759cc391d2017ac,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,7dd92e6e4341dc6d5ba70a20d7e89edb3a87fba9,33,31,1299,1344,18,1,"{""703"": 1186, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,7dfbecd3924a0d7a9e555e9cc3618cdb06b5415d,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,7e61ff352439d3e5c85785fc26b5503e4fed67b8,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,802c67072cb1fb47c8f1033dd51cab557c72b6a4,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,838ff99f37d88214829018c6a7dd2a84fdb418b4,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,83d4939d41ab8790587f721755a74f883cc04e31,23,24,1248,1279,15,1,"{""703"": 1146, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 10, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,8700a5b7a92582fb1dc2a8fad7e41aa79948258b,23,26,1275,1306,17,1,"{""703"": 1173, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
